"Date","Price","Open","High","Low","Vol.","Change %"
"09/06/2022","4,017.82","4,101.65","4,119.10","4,017.17","","-2.38%"
"08/06/2022","4,115.77","4,147.12","4,160.14","4,107.20","","-1.08%"
"07/06/2022","4,160.68","4,096.47","4,164.86","4,080.19","","0.95%"
"06/06/2022","4,121.43","4,134.72","4,168.78","4,109.18","","0.31%"
"03/06/2022","4,108.54","4,137.57","4,142.67","4,098.67","","-1.63%"
"02/06/2022","4,176.82","4,095.41","4,177.51","4,074.37","","1.84%"
"01/06/2022","4,101.23","4,149.78","4,166.54","4,073.85","","-0.75%"
"31/05/2022","4,132.15","4,151.09","4,168.34","4,104.88","","-0.63%"
"27/05/2022","4,158.24","4,077.43","4,158.49","4,077.43","","2.47%"
"26/05/2022","4,057.84","3,984.60","4,075.14","3,984.60","","1.99%"
"25/05/2022","3,978.73","3,929.59","3,999.33","3,925.03","","0.95%"
"24/05/2022","3,941.48","3,942.94","3,955.68","3,875.13","","-0.81%"
"23/05/2022","3,973.75","3,919.42","3,981.88","3,909.04","","1.86%"
"20/05/2022","3,901.36","3,927.76","3,943.42","3,810.32","","0.01%"
"19/05/2022","3,900.79","3,899.00","3,945.96","3,876.58","","-0.58%"
"18/05/2022","3,923.68","4,051.98","4,051.98","3,911.91","","-4.04%"
"17/05/2022","4,088.85","4,052.00","4,090.72","4,033.93","","2.02%"
"16/05/2022","4,008.01","4,013.02","4,046.46","3,983.99","","-0.39%"
"13/05/2022","4,023.89","3,963.90","4,038.88","3,963.90","","2.39%"
"12/05/2022","3,930.08","3,903.95","3,964.80","3,858.87","","-0.13%"
"11/05/2022","3,935.18","3,990.08","4,049.09","3,928.82","","-1.65%"
"10/05/2022","4,001.05","4,035.18","4,068.82","3,958.17","","0.25%"
"09/05/2022","3,991.24","4,081.27","4,081.27","3,975.48","","-3.20%"
"06/05/2022","4,123.34","4,128.17","4,157.69","4,067.91","","-0.70%"
"05/05/2022","4,152.38","4,255.50","4,256.39","4,105.51","","-3.44%"
"04/05/2022","4,300.17","4,181.18","4,307.66","4,148.91","","2.99%"
"03/05/2022","4,175.48","4,159.78","4,200.10","4,147.08","","0.48%"
"02/05/2022","4,155.38","4,130.61","4,169.81","4,062.51","","0.57%"
"29/04/2022","4,131.93","4,253.75","4,269.68","4,124.28","","-3.63%"
"28/04/2022","4,287.50","4,222.58","4,308.45","4,188.63","","2.47%"
"27/04/2022","4,183.96","4,186.52","4,240.71","4,162.90","","0.21%"
"26/04/2022","4,175.20","4,278.14","4,278.14","4,175.04","","-2.81%"
"25/04/2022","4,296.12","4,255.34","4,299.02","4,200.82","","0.57%"
"22/04/2022","4,271.78","4,385.83","4,385.83","4,267.62","","-2.77%"
"21/04/2022","4,393.66","4,489.17","4,512.94","4,384.47","","-1.48%"
"20/04/2022","4,459.45","4,472.26","4,488.29","4,448.76","","-0.06%"
"19/04/2022","4,462.21","4,390.63","4,471.03","4,390.63","","1.61%"
"18/04/2022","4,391.69","4,385.63","4,410.31","4,370.30","","-0.02%"
"14/04/2022","4,392.59","4,449.12","4,460.46","4,390.77","","-1.21%"
"13/04/2022","4,446.59","4,394.30","4,453.92","4,392.70","","1.12%"
"12/04/2022","4,397.45","4,437.59","4,471.00","4,381.34","","-0.34%"
"11/04/2022","4,412.53","4,462.64","4,464.35","4,408.38","","-1.69%"
"08/04/2022","4,488.28","4,494.15","4,520.41","4,474.60","","-0.27%"
"07/04/2022","4,500.21","4,474.65","4,521.16","4,450.30","","0.43%"
"06/04/2022","4,481.15","4,494.17","4,503.94","4,450.04","","-0.97%"
"05/04/2022","4,525.12","4,572.45","4,593.45","4,514.17","","-1.26%"
"04/04/2022","4,582.64","4,547.97","4,583.50","4,539.21","","0.81%"
"01/04/2022","4,545.86","4,540.32","4,548.70","4,507.57","","0.34%"
"31/03/2022","4,530.41","4,599.02","4,603.07","4,530.41","","-1.57%"
"30/03/2022","4,602.45","4,624.20","4,627.77","4,581.32","","-0.63%"
"29/03/2022","4,631.60","4,602.86","4,637.30","4,589.66","","1.23%"
"28/03/2022","4,575.52","4,541.09","4,575.65","4,517.69","","0.71%"
"25/03/2022","4,543.04","4,522.91","4,546.03","4,501.07","","0.51%"
"24/03/2022","4,520.16","4,469.98","4,520.58","4,465.17","","1.43%"
"23/03/2022","4,456.23","4,493.10","4,501.07","4,455.81","","-1.23%"
"22/03/2022","4,511.61","4,469.10","4,522.00","4,469.10","","1.13%"
"21/03/2022","4,461.18","4,462.40","4,481.75","4,424.30","","-0.04%"
"18/03/2022","4,463.09","4,407.34","4,465.40","4,390.57","","1.17%"
"17/03/2022","4,411.67","4,345.11","4,412.67","4,335.65","","1.23%"
"16/03/2022","4,357.95","4,288.14","4,358.90","4,251.99","","2.24%"
"15/03/2022","4,262.45","4,188.82","4,271.05","4,187.90","","2.14%"
"14/03/2022","4,173.11","4,202.75","4,247.57","4,161.72","","-0.74%"
"11/03/2022","4,204.31","4,279.50","4,291.01","4,200.49","","-1.30%"
"10/03/2022","4,259.52","4,252.55","4,268.28","4,209.80","","-0.43%"
"09/03/2022","4,277.88","4,223.10","4,299.40","4,223.10","","2.57%"
"08/03/2022","4,170.62","4,202.66","4,276.94","4,157.87","","-0.73%"
"07/03/2022","4,201.09","4,327.01","4,327.01","4,199.85","","-2.95%"
"04/03/2022","4,328.87","4,342.12","4,342.12","4,284.98","","-0.79%"
"03/03/2022","4,363.49","4,401.31","4,416.78","4,350.37","","-0.53%"
"02/03/2022","4,386.54","4,322.56","4,401.48","4,322.56","","1.86%"
"01/03/2022","4,306.26","4,363.14","4,378.45","4,279.54","","-1.54%"
"28/02/2022","4,373.79","4,354.17","4,388.84","4,315.12","","-0.25%"
"25/02/2022","4,384.62","4,298.38","4,385.34","4,286.83","","2.24%"
"24/02/2022","4,288.70","4,155.77","4,294.73","4,114.65","","1.50%"
"23/02/2022","4,225.50","4,324.93","4,341.51","4,221.51","","-1.84%"
"22/02/2022","4,304.74","4,332.74","4,362.12","4,267.11","","-1.01%"
"18/02/2022","4,348.87","4,384.57","4,394.60","4,327.22","","-0.72%"
"17/02/2022","4,380.26","4,456.06","4,456.06","4,373.81","","-2.12%"
"16/02/2022","4,475.01","4,455.75","4,489.55","4,429.68","","0.09%"
"15/02/2022","4,471.07","4,429.28","4,472.77","4,429.28","","1.58%"
"14/02/2022","4,401.67","4,412.61","4,426.22","4,364.84","","-0.38%"
"11/02/2022","4,418.64","4,506.27","4,526.33","4,401.41","","-1.90%"
"10/02/2022","4,504.06","4,553.24","4,588.92","4,484.31","","-1.81%"
"09/02/2022","4,587.18","4,547.00","4,590.03","4,547.00","","1.45%"
"08/02/2022","4,521.54","4,480.02","4,531.32","4,465.40","","0.84%"
"07/02/2022","4,483.87","4,505.75","4,521.86","4,471.47","","-0.37%"
"04/02/2022","4,500.54","4,482.79","4,539.66","4,451.50","","0.52%"
"03/02/2022","4,477.44","4,535.41","4,542.88","4,470.39","","-2.44%"
"02/02/2022","4,589.32","4,566.39","4,595.31","4,544.32","","0.94%"
"01/02/2022","4,546.54","4,519.57","4,550.49","4,483.53","","0.69%"
"31/01/2022","4,515.55","4,431.79","4,516.89","4,414.02","","1.89%"
"28/01/2022","4,431.85","4,336.19","4,432.72","4,292.46","","2.43%"
"27/01/2022","4,326.50","4,380.58","4,428.74","4,309.50","","-0.54%"
"26/01/2022","4,349.93","4,408.43","4,453.23","4,304.80","","-0.15%"
"25/01/2022","4,356.45","4,366.64","4,411.01","4,287.11","","-1.22%"
"24/01/2022","4,410.13","4,356.32","4,417.35","4,222.62","","0.28%"
"21/01/2022","4,397.93","4,471.38","4,494.52","4,395.34","","-1.89%"
"20/01/2022","4,482.73","4,547.35","4,602.11","4,477.95","","-1.10%"
"19/01/2022","4,532.76","4,588.03","4,611.55","4,530.20","","-0.97%"
"18/01/2022","4,577.34","4,632.24","4,632.24","4,568.70","","-1.83%"
"14/01/2022","4,662.85","4,637.99","4,665.13","4,614.75","","0.08%"
"13/01/2022","4,659.02","4,733.56","4,744.13","4,650.29","","-1.42%"
"12/01/2022","4,726.35","4,728.59","4,748.83","4,706.71","","0.28%"
"11/01/2022","4,713.07","4,669.14","4,714.13","4,638.27","","0.92%"
"10/01/2022","4,670.29","4,655.34","4,673.02","4,582.24","","-0.14%"
"07/01/2022","4,677.02","4,697.66","4,707.95","4,662.74","","-0.41%"
"06/01/2022","4,696.05","4,693.39","4,725.01","4,671.26","","-0.10%"
"05/01/2022","4,700.58","4,787.99","4,797.70","4,699.44","","-1.94%"
"04/01/2022","4,793.54","4,804.51","4,818.62","4,774.27","","-0.06%"
"03/01/2022","4,796.56","4,778.14","4,796.64","4,758.17","","0.64%"
"31/12/2021","4,766.18","4,775.21","4,786.83","4,765.75","","-0.26%"
"30/12/2021","4,778.73","4,794.23","4,808.93","4,775.33","","-0.30%"
"29/12/2021","4,793.06","4,788.64","4,804.06","4,778.08","","0.14%"
"28/12/2021","4,786.36","4,795.49","4,807.02","4,780.04","","-0.10%"
"27/12/2021","4,791.19","4,733.99","4,791.49","4,733.99","","1.38%"
"23/12/2021","4,725.78","4,703.96","4,740.74","4,703.96","","0.62%"
"22/12/2021","4,696.56","4,650.36","4,697.67","4,645.53","","1.02%"
"21/12/2021","4,649.23","4,594.96","4,651.14","4,583.16","","1.78%"
"20/12/2021","4,568.02","4,587.90","4,587.90","4,531.10","","-1.14%"
"17/12/2021","4,620.64","4,652.50","4,666.70","4,600.22","","-1.03%"
"16/12/2021","4,668.67","4,719.13","4,731.99","4,651.89","","-0.87%"
"15/12/2021","4,709.84","4,636.46","4,712.60","4,611.22","","1.63%"
"14/12/2021","4,634.09","4,642.99","4,660.47","4,606.52","","-0.75%"
"13/12/2021","4,669.15","4,710.30","4,710.30","4,667.60","","-0.91%"
"10/12/2021","4,712.02","4,687.64","4,713.57","4,670.24","","0.95%"
"09/12/2021","4,667.45","4,691.00","4,695.26","4,665.98","","-0.72%"
"08/12/2021","4,701.21","4,690.86","4,705.06","4,674.52","","0.31%"
"07/12/2021","4,686.75","4,631.97","4,694.04","4,631.97","","2.07%"
"06/12/2021","4,591.67","4,548.37","4,612.60","4,540.51","","1.17%"
"03/12/2021","4,538.43","4,589.49","4,608.03","4,495.12","","-0.84%"
"02/12/2021","4,577.10","4,504.73","4,595.46","4,504.73","","1.42%"
"01/12/2021","4,513.04","4,602.82","4,652.94","4,510.27","","-1.18%"
"30/11/2021","4,567.00","4,640.25","4,646.02","4,560.00","","-1.90%"
"29/11/2021","4,655.27","4,628.75","4,672.95","4,625.26","","1.32%"
"26/11/2021","4,594.62","4,664.63","4,664.63","4,585.43","","-2.27%"
"24/11/2021","4,701.46","4,675.78","4,702.87","4,659.89","","0.23%"
"23/11/2021","4,690.70","4,678.48","4,699.39","4,652.66","","0.17%"
"22/11/2021","4,682.95","4,712.00","4,743.83","4,682.17","","-0.32%"
"19/11/2021","4,697.96","4,708.44","4,717.75","4,694.22","","-0.18%"
"18/11/2021","4,706.64","4,700.72","4,708.75","4,672.78","","0.38%"
"17/11/2021","4,688.67","4,701.50","4,701.50","4,684.41","","-0.26%"
"16/11/2021","4,700.90","4,679.42","4,714.95","4,679.42","","0.39%"
"15/11/2021","4,682.81","4,689.30","4,697.42","4,672.86","","0.00%"
"12/11/2021","4,682.85","4,655.24","4,688.47","4,650.77","","0.72%"
"11/11/2021","4,649.27","4,659.39","4,664.55","4,648.31","","0.06%"
"10/11/2021","4,646.71","4,670.26","4,684.85","4,630.86","","-0.82%"
"09/11/2021","4,685.25","4,707.25","4,708.53","4,670.87","","-0.35%"
"08/11/2021","4,701.70","4,701.48","4,714.92","4,694.39","","0.09%"
"05/11/2021","4,697.53","4,699.26","4,718.50","4,681.32","","0.37%"
"04/11/2021","4,680.06","4,662.93","4,683.00","4,662.59","","0.42%"
